# factor, L, a_max, n, mean_beta, var_beta, cv_beta, stderr_mean, stderr_var
1.000000000000000000e+00,3.489442441638382242e+00,3.489442441638382242e+00,3.000000000000000000e+01,4.773374654947586115e-02,2.236659708041646580e-04,3.133101282160226098e-01,2.730482074678173155e-03,5.873756155680342149e-05
1.250000000000000000e+00,4.361803052047977580e+00,3.489442441638382242e+00,3.000000000000000000e+01,4.719505506931722522e-02,7.783319894185335933e-05,1.869329858616623763e-01,1.610726533191914923e-03,2.043999942223179034e-05
1.500000000000000000e+00,5.234163662457573807e+00,3.489442441638382242e+00,3.000000000000000000e+01,4.856844148453383359e-02,5.454340592051213786e-05,1.520606908345048802e-01,1.348374403006723536e-03,1.432380013488464019e-05
1.750000000000000000e+00,6.106524272867169145e+00,3.489442441638382242e+00,3.000000000000000000e+01,5.040870949074073570e-02,2.874047182957456249e-05,1.063509485055311593e-01,9.787827785839335257e-04,7.547617669293558741e-06
2.000000000000000000e+00,6.978884883276764484e+00,3.489442441638382242e+00,3.000000000000000000e+01,4.993645546372819932e-02,1.258162811890420141e-05,7.103145482248707232e-02,6.476014236885781813e-04,3.304097415721783343e-06
2.500000000000000000e+00,8.723606104095955160e+00,3.489442441638382242e+00,3.000000000000000000e+01,5.084447204389123259e-02,1.539889393668724790e-05,7.717933313648153715e-02,7.164471121836150924e-04,4.043947665623225611e-06
3.000000000000000000e+00,1.046832732491514761e+01,3.489442441638382242e+00,3.000000000000000000e+01,5.098657755811555892e-02,8.815164749273667695e-06,5.823168478400429782e-02,5.420690223355222699e-04,2.314975676595791678e-06
3.500000000000000000e+00,1.221304854573433829e+01,3.489442441638382242e+00,3.000000000000000000e+01,5.093582744799553946e-02,6.104977060164254300e-06,4.850859015704794136e-02,4.511088952113541340e-04,1.603245520921207954e-06
4.000000000000000000e+00,1.395776976655352897e+01,3.489442441638382242e+00,3.000000000000000000e+01,5.087576010390718051e-02,4.477449156853733524e-06,4.159148440587802364e-02,3.863266820043081040e-04,1.175835754194472123e-06
5.000000000000000000e+00,1.744721220819191032e+01,3.489442441638382242e+00,3.000000000000000000e+01,5.119684801819534420e-02,1.686140116100109851e-06,2.536317431427026134e-02,2.370752423528663751e-04,4.428020878935676881e-07
