# L, N, nrep, micro_mean, micro_std, spec_mean, spec_std, obs_mean, obs_std, total_mean
5.000000000000000000e+00,4.000000000000000000e+01,5.000000000000000000e+00,1.845928360708058019e-02,1.584158176609184966e-03,1.769767517689615349e-02,3.006053479544606674e-04,1.558393705636262894e-06,6.391008955548109375e-07,3.615851717768236995e-02
6.000000000000000000e+00,4.800000000000000000e+01,5.000000000000000000e+00,5.665609999559819560e-02,5.408833027906799311e-03,3.089013298740610550e-02,3.070976372078439891e-04,1.491804141551256180e-06,4.021653351983792712e-07,8.754772478714585582e-02
7.000000000000000000e+00,5.600000000000000000e+01,5.000000000000000000e+00,1.362165415892377385e-01,1.397469539454764507e-02,4.699606660287827115e-02,8.190553137972438969e-04,1.891783904284238731e-06,2.529040162232117678e-07,1.832144999760202952e-01
8.000000000000000000e+00,6.400000000000000000e+01,5.000000000000000000e+00,4.520282582030631380e-01,5.806737372801770020e-02,7.133964977692812404e-02,1.500293603605934748e-03,2.591789234429597770e-06,7.024249625454080744e-07,5.233704997692256722e-01
9.000000000000000000e+00,7.200000000000000000e+01,5.000000000000000000e+00,1.059055016585625619e+00,3.125869436054212053e-02,1.053985752281732802e-01,1.201526287327084287e-03,2.799788489937782288e-06,4.363306694035095902e-07,1.164456391602288754e+00
1.000000000000000000e+01,8.000000000000000000e+01,5.000000000000000000e+00,1.878482958220411003e+00,4.037598993602010133e-01,1.446682583889923879e-01,3.037126159478628455e-03,3.633392043411731551e-06,7.544620805570742154e-07,2.023154850001446459e+00
1.100000000000000000e+01,8.800000000000000000e+01,5.000000000000000000e+00,3.762629441800527275e+00,1.941674855466003491e-01,1.858877082006074599e-01,1.832081123129803823e-03,3.724801354110240852e-06,3.971356561929745264e-07,3.948520874802488922e+00
1.200000000000000000e+01,9.600000000000000000e+01,5.000000000000000000e+00,6.604164133395533653e+00,1.742655553595892637e-01,2.482601582072675173e-01,6.939121227318730163e-03,4.233000800013541836e-06,6.280377953172210909e-07,6.852428524603601190e+00
1.300000000000000000e+01,1.040000000000000000e+02,5.000000000000000000e+00,4.792825591599102708e+00,1.203357300354369608e-01,3.076483418117277324e-01,4.599108733026296969e-03,4.908186383545398712e-06,1.088674322967045950e-06,5.100478841597213986e+00
1.400000000000000000e+01,1.120000000000000000e+02,5.000000000000000000e+00,1.291239297501742911e+01,2.689337306735440358e-01,3.917298082145862503e-01,1.124413312682093387e-02,6.200000643730163405e-06,1.454537870123230538e-06,1.330412898323266013e+01
