# L, V, n, mean_beta, var_beta, cv_beta, stderr_var
5.000000000000000000e+00,1.250000000000000000e+02,5.000000000000000000e+01,5.105392361111112109e-02,7.603729302853956095e-05,1.707985578749333100e-01,1.536185300672826139e-05
6.000000000000000000e+00,2.160000000000000000e+02,5.000000000000000000e+01,5.103063512731480927e-02,2.505628079704066418e-05,9.809058623801129861e-02,5.062133160829064203e-06
7.000000000000000000e+00,3.430000000000000000e+02,5.000000000000000000e+01,5.061132749230644323e-02,2.214819940896184185e-05,9.298683885547602557e-02,4.474611998042514290e-06
8.000000000000000000e+00,5.120000000000000000e+02,5.000000000000000000e+01,5.009918636745877563e-02,1.728302227928330752e-05,8.298109704774422890e-02,3.491697786594116295e-06
9.000000000000000000e+00,7.290000000000000000e+02,5.000000000000000000e+01,5.125193437071331320e-02,1.406844031980744865e-05,7.318342234430372240e-02,2.842254157386882214e-06
1.000000000000000000e+01,1.000000000000000000e+03,5.000000000000000000e+01,5.118963845486110970e-02,8.891501046643934881e-06,5.825128092325056878e-02,1.796354481431203103e-06
1.100000000000000000e+01,1.331000000000000000e+03,5.000000000000000000e+01,5.092186195634026274e-02,5.640693888547030721e-06,4.664037039423327147e-02,1.139592256911177409e-06
1.200000000000000000e+01,1.728000000000000000e+03,5.000000000000000000e+01,5.073343686704281930e-02,4.053505490887047244e-06,3.968451699533351307e-02,8.189317771951816720e-07
1.300000000000000000e+01,2.197000000000000000e+03,5.000000000000000000e+01,5.109717698218530640e-02,3.296763087013264499e-06,3.553423437722000311e-02,6.660467242264500628e-07
1.400000000000000000e+01,2.744000000000000000e+03,5.000000000000000000e+01,5.097885949394639210e-02,2.229012510363435605e-06,2.928640998505080070e-02,4.503285318364670596e-07
